"artist_title"	"year"	"keep"	"rank"	"votes"	"artist"	"song"	"filename"	"source"
"Facelift Deer - Everlasting "	2013	"TRUE"	16	208	"Facelift Deer"	"Everlasting "	"lyrics-facelift_deer-everlasting"	1
"Family - Sajab mehi "	2002	"TRUE"	37	168	"Family"	"Sajab mehi "	"lyrics-family-sajab_mehi"	1
"Folkmill - Käib Salapidi Öö "	1997	"TRUE"	27	163	"Folkmill"	"Käib Salapidi Öö "	"lyrics-folkmill-kaib_salapidi_oo"	1
"Folkmill - Madis Mäekalle Valss"	1994	"TRUE"	38		"Folkmill"	"Madis Mäekalle Valss"	"lyrics-folkmill-madis_maekalle"	1
"Frankie Animal - (Can't Keep Calling) Misty "	2018	"TRUE"	24	124	"Frankie Animal"	"(Can't Keep Calling) Misty "	"lyrics-frankie_animal-_can_t_keep_calling_misty"	1
"Genialistid - Helena Vanje "	1999	"TRUE"	19	178	"Genialistid"	"Helena Vanje "	"lyrics-genialistid-helena_wanje"	1
"Genialistid ja Lea Liitmaa - Leekiv armastus "	2003	"TRUE"	2	1430	"Genialistid ja Lea Liitmaa"	"Leekiv armastus "	"lyrics-genialistid-leekiv_armastus"	1
"Genialistid - MX "	2000	"TRUE"	36	20	"Genialistid"	"MX "	"lyrics-genialistid-mx_20_"	1
"Genialistid - Naine "	1999	"TRUE"	22	144	"Genialistid"	"Naine "	"lyrics-genialistid-naine"	1
"Genialistid - Täna me ei skoori "	2004	"TRUE"	14	256	"Genialistid"	"Täna me ei skoori "	"lyrics-genialistid-tana_ma_ei_skoori"	1
